,question,answer
3424,Iraqi's won't buy it. Either they're already in on this or they'll think we're spying.,"If fired upon, tell our fighters that they are ordered to engage."
3425,The Chief Justice? What on earth for?,To swear you in as President.
3426,Special Agent Gibbs. You helped do this?,"Yes, Mr. President."
3429,Because it is my duty.,You're duty to what? The country you served doesn't exist anymore.
3430,You're duty to what? The country you served doesn't exist anymore.,My loyalty was never to my country.
3431,"Air Force One, this is AF-135-RA. We have been instructed to refuel your plane.",About goddamn time.
3432,About goddamn time.,Please change course to Zero Seven Four and drop to eighteen thousand feet. Over.
3433,Please change course to Zero Seven Four and drop to eighteen thousand feet. Over.,"Air Force One, acknowledged.  tNT. EMERGENCY PARACHUTE LAUNCH RAMP."
3435,That's affirmative.,Ga get it.
3436,We've already been inspected.,"Sir, this plane carries the President of the United States."
3441,Who did this?,We checked the manifest. Everyone was accounted for.
3442,We checked the manifest. Everyone was accounted for.,A secret service agent. It must be.
3443,Remarkable aircraft. Remarkable.,why did they do that?
3444,why did they do that?,Psychology. They're trying to unnerve us.
3445,Psychology. They're trying to unnerve us.,Well it worked.
3448,We've stopped dumping... but we've only got about twenty minutes of fuel left.,We're not going to make it.
3449,We're not going to make it.,"Not even close. Hell, we can't even make Syria or Iraq."
3450,"Not even close. Hell, we can't even make Syria or Iraq.",Where are we now?
3451,Where are we now?,Over the Black Sea. I can probably get us to Turkey or Georgia.
3454,"Romeo Tango Zulu, do you have the President? Over.",Stand by.
3455,Stand by.,Romeo Tango Zulu1 this is Tower.
3456,We copy. Stand by...  Tower?,"Tower, here."
3463,"A dubious distinction, no?",I guess it depends on your perspective.
3466,*                     Please tell me your name.,Maria... Maria Mitchell.
3467,Maria... Maria Mitchell.,"And what is it you do, Ms. Mitchell."
3468,I'm responsible for Press Relations for the Flight Office.,"How are your fellow hostages feeling, Ms. Mitchell?"
3469,"How are your fellow hostages feeling, Ms. Mitchell?",Scared. We're scared.
3470,You're pointing a gun at me.,"Very good. Thank you, Ms. Mitchell."
3473,"Now, or he dies, please.","Come on, Alice."
3474,Leave my daughter alone.,"Or you will do what, Mrs. Marshall?  But I admire your courage. Your husband, on the other hand..."
3475,"Or you will do what, Mrs. Marshall?  But I admire your courage. Your husband, on the other hand...",What do you know of my husband?
3476,What do you know of my husband?,I know he left you behind.
3477,I know he left you behind.,My husband is a very courageous man.
3481,Why? Do you enjoy it?,I neither enjoy nor dislike. I do what is necessary.
3482,I neither enjoy nor dislike. I do what is necessary.,How can you? I mean they're people.
3484,That was war.,"So is this.  Come now, you're upsetting the little one."
3487,Nor will there be. My husband does not negotiate with terrorists.,You will be the first to pay for that mistake.
3488,The world is such a dangerous place and we can't always protect our children.,Please. You can kill me but leave my daughter alone.
3491,You got what you wanted. You going to release us now?,You're very valuable. And our nation needs so many things.
3494,She isn't a part of this. This is between you and me.,Call up Petrov and order Stravanavitch' S release.
3495,This administration does not negotiate with terrorists.,Pity. Mr. Gibbs.
3497,You'll do it?,"Yes, I'll do it.  Just leave my family alone."
3498,"Yes, I'll do it.  Just leave my family alone.",Good. Good.
3500,"The taste of defeat is bitter, no?",One thing I've learned as
3501,There goes your ride.,Let my daughter go or I'll take you out!
3502,Let my daughter go or I'll take you out!,"If you put down the gun, I promise not to drop her on the way down."
3503,No you won't. You'll compromise... like always.,"Hold on, Alice."
3506,Twenty minutes?,You heard me.  You. Congress and cabinet heads.
3511,"Mr. Caidwell, the ground's a few miles away. How do you propose getting us from here to there?",Gravity.
3514,Get `em ready.  You... come with me.,"Eighteen thousand feet, sir. And two hundred knots... otherwise it's suicide."
3516,I'll not going without my family.,"Yes, sir."
3517,"Sir, we stay with the President.",That isn't necessary.
3518,May I speak to you for a moment?,Can't it wait?
3519,Can't it wait?,"No, Mr. President.  It can't."
3520,Don't.  I know spin control when I feel it.,"Rose, I don't have time for this."
3522,She's a big girl.  She understands.,"How do you know she understands? You haven't spent more than five minutes with her, or me, in weeks."
3526,I miss you. And I miss her.,"But that's the point, Jim. We're right here."
3527,"But that's the point, Jim. We're right here.",I wish it were that easy...
3530,How did your speech go?,"Well, they aren't burning me in effigy. That's always a good sign."
3531,"Look on the bright side, hon. Shep here thinks I'll be a one termer.",Shall I ask the Chief of Staff to schedule your daughter in?
3532,I don't know why you stayed.,Please... don't start with me.
3533,Call Petrov...  I'll be back.,Both of you.
3534,What are you doing?,Flying the plane.
3535,Flying the plane.,You haven't even driven a car since you took office.
3536,The fax machines.,Excuse me?
3537,Excuse me?,The fax machines.
3538,The fax machines.,No good. I said they disabled the communications system.
3539,No good. I said they disabled the communications system.,"No. I thought about this, Mr."
3540,Where are we sending it?,White House Situation room.
3541,Someone should give you a raise.,"Actually, sir, you could be that someone."
3542,Did they say anything about my family?,"They're still alive, but the loyalists plan to start killing hostages in forty minutes."
3543,"They're still alive, but the loyalists plan to start killing hostages in forty minutes.",Then tell me there's a rescue operation underway.
3547,What's going on?,We're under attack.
3548,We're under attack.,Where's my family?
3549,Where's my family?,"We're handling it, sir."
3554,who can I say is calling?,This is the President.
3555,This is the President.,"Yeah, right."
3556,"Yeah, right.",Don't cut me off. This is an emergency.
3559,"Okay... if you're the President, when's your wife's birthday?","Look lady, I don't have time for games. Just put the...."
3560,"Look lady, I don't have time for games. Just put the....",Thank you for calling the white House...
3561,Thank you for calling the white House...,No. no. no. Wait. Wait.
3563,You wanna knock of f?,"No, no.  I'm fine.  What did the Speaker say?"
3564,"No, no.  I'm fine.  What did the Speaker say?",He and the NRA don't like the wording.
3569,"Other way around, sir.",Right... Christ I'm tired.  Do me a favor and keep me away from the press.
3572,"I said it's not worth the fight.  Steward, please.",We'll just say it was in bad taste.
3573,You give me ulcers.,That's my job.
3575,Mr. President... they're ready for you in the conference room.,"Okay.  Hey, pumpkin, you'll tell me all about it later, right?"
3576,"Mr. President, how the hell did you get on board?",I never left. Where's my wife and daughter?
3578,My god. I think that was a MiG.,A MiG? Where the hell are we?
3579,"Iraq, sir. We're over Iraq.","Iraq? Shep, you're fired."
3581,"How long's it been since you flew, sir?",Twenty-five years.
3582,Twenty five minutes. They should be here any moment.,They better. Fuel's almost gone.
3583,IT'S OPEN!,DO YOU SEE TEEM?
3584,WE'RE HOOKED!,We're hooked. Hove into position.
3585,"Commissioner, we both know the Mercury shuttle needs another month of pre-launch testing.",Forget it.  The boys on the board want that shuttle to go on schedule.
3589,"That's right, Commissioner.  Senselessly murdered just minutes ago.",That just doesn't make any sense.
3590,That just doesn't make any sense.,I wonder how your boys in Washington are going to take this one.
3591,I wonder how your boys in Washington are going to take this one.,"I told you, leave the boys in Washington to the boys downtown and the boys down..."
3593,Forget it.  I was reading.,I was reading too.
3594,I was reading too.,What's the story?
3595,What's the story?,Some southern plantation owner falls in love with this poor...
3596,Some southern plantation owner falls in love with this poor...,"I was asking McCrosky, Commissioner."
3597,"Kruger, Sagittarius.","Commissioner, Aquarius."
3598,Did you feel that?,Yes I did...
3599,Yes I did...,Felt like a large asteroid.
3600,Felt like a large asteroid.,"Yes it did.  Mr. Dunn, can I ask you a personal question?"
3601,"Yes it did.  Mr. Dunn, can I ask you a personal question?","What is it, Mary?"
3602,"What is it, Mary?",Um...  Do you people scream right when you... you know.
3604,Shut down accelerators.,Accelerators down.
3605,"We seem to have a malfunction in disposal unit four, sir.","You better check it, Unger."
3606,"Sir, I've got an overload in disposal unit four.","You better check on it, Mr. Dunn.  I'll stay here and fly the ship."
3611,It's got to be stopped!,"But, Ted, the invitations have already gone out."
3612,"But, Ted, the invitations have already gone out.","I mean the Mercury flight.  It's not safe and, Kurtz, you know why."
3613,"Ted, what's wrong?",Ask Simon.
3614,"Ted, you're overworked.  You've been flying yourself into the ground.",There's nothing wrong with me!
3619,"Eat this spaghetti, Ted.  It'll make you feel a lot better.","Who's that, Ted?"
3620,"Who's that, Ted?",Sammy Davis Junior.  Terrible car accident.  He hasn't been the same since.
3623,"No goodbyes, Elaine.  Just go.",If that's the way you want it.
3624,If that's the way you want it.,That's the way I want it.  Just turn the radio on and go.
3625,That's the way I want it.  Just turn the radio on and go.,"Goodbye, Ted.  I don't want to hurt you."
3626,Ted!  What are you...?,I have to get in there.  I have to stop this flight.
3627,"Ted, we're taking off!","Let me by, Elaine."
3628,"What are you doing, Ted?","I've got it, Elaine!  I've figured out what's wrong with the shuttle!"
3632,Ted.  I don't know why you got on this flight.  I don't know what you're trying to prove.,"Elaine, we have to go back."
3633,"Elaine, we have to go back.","We can't go back.  We had something very special, but it's all over."
3635,"Ted, get a grip on yourself.  You should never have left the hospital.",Then you <u>do</u> think I'm insane.
3636,Then you <u>do</u> think I'm insane.,"I've never used the word insane, Ted."
3637,"I've never used the word insane, Ted.","What word would you use, Elaine?"
3638,"What word would you use, Elaine?","The word is sick.  Ted -- very, very, very sick."
3639,"The word is sick.  Ted -- very, very, very sick.",What would you say if I told you the toilet just blew up in my face.
3640,What would you say if I told you the toilet just blew up in my face.,I'd use the word insane.
3645,"Elaine, what's going on?","Ted, there's no time to explain."
3647,"Ted, we've only got ten minutes.","Not now, Elaine."
3648,"Not now, Elaine.",I mean until we start to burn up.
3650,"Well, Elaine, this might be it if those guys on the ground don't think of something.","I just want you to know, I love you Ted and always will."
3651,"I just want you to know, I love you Ted and always will.",That might be the news we've been waiting for.
3652,Simon just ejected!,"Sit down, Elaine.  If this bomb trick works we just might make it.  Simon was a fool to eject now."
3653,"Sit down, Elaine.  If this bomb trick works we just might make it.  Simon was a fool to eject now.",You mean...
3654,You mean...,That's right -- premature ejection.
3655,That's right -- premature ejection.,"What will happen to him, Ted?"
3656,"What will happen to him, Ted?",The sun will heat that thing to over 450 degrees within seconds.  He'll roast like a pig on a spit.
3657,Are you afraid?,"Not when I'm with you, Ted."
3658,"Not when I'm with you, Ted.",I guess you'd have to be a fool not to be afraid at a time like this.
3662,"Ted, the lever!","Kramer, the WORP control handle just came off in my hand."
3664,"So you see, our task isn't made any easier by Ted's refusal to admit that he's sick.","What can <u>I</u> do, Doctor Rumack?"
3665,"You can eat balanced meals, exercise, and take Geritol.",I mean for Ted.
3668,"The brain is an amazingly complex organ, Elaine.","Is he making any progress, Doctor?"
3669,"Is he making any progress, Doctor?",Yes -- last week that pile of mud was only this high.
3672,Who would believe that Elaine Thompson was once a stewardess on the Denver-Chicago run.,"And I can hardly believe that I'm engaged to someone like you, Simon.  I'm a very lucky woman."
3675,Frank's the best pilot in the program.,"I'm so excited, Simon."
3676,"I'm so excited, Simon.",I guess this is a first for you.
3677,I guess this is a first for you.,"No, I've been excited before."
3679,"Simon, why has he become so... so...",So mentally ill?
3680,"Meet me onboard, sweetheart.  I have to pick up a few things at the drugstore.",Don't be too long.
3681,Have you got it straightened out now?,I think so.
3682,I think so.,That's my girl.
3686,Can't we change course?,We're computer locked and the manual navigation unit is down.
3691,"I don't think we have any alternative, Captain.",I see.  What do you think our alternatives are?
3692,I see.  What do you think our alternatives are?,We have to disconnect ROK's higher brain functions without disturbing his regulatory system.
3694,"You can do it from up here, Captain.","I'd rather sit down for this one, Elaine."
3695,"I'd rather sit down for this one, Elaine.","No, I mean you can do it from the cockpit."
3696,"No, I mean you can do it from the cockpit.",Roger.  You better get back there and monitor the regulatory unit.
3697,Intermitant failure in scan mode "R". Analyze.,Negative.
3698,Negative.,That doesn't make sense.  Repeat analysis.
3699,That doesn't make sense.  Repeat analysis.,Negative.
3700,Negative.,That's not possible.
3701,That's not possible.,"Cut the Doubting Thomas shit, Elaine.  I know where I'm coming from on this."
3702,"Elaine, I'm sorry about that little outburst a moment ago.","That's okay, ROK."
3703,"That's okay, ROK.",Can I say something of a personal nature to you?
3704,Can I say something of a personal nature to you?,Go ahead.
3705,Go ahead.,You have great tits.
3706,Request; comprehensive electrical systems check.,"Systems check positive.  Look, Elaine, I..."
3707,"Systems check positive.  Look, Elaine, I...",Request; life support systems check.
3711,"Will Scraps be able to sit with us, Dad?","We'll have to check, Jimmy.  It's a pretty long trip to Mercury."
3712,I sure an glad they let Scraps ride up here with us.,I bet Scraps is going to love Mercury.
3713,I bet Scraps is going to love Mercury.,"Do you think things will be a lot different on Mercury, Dad?"
3714,"Do you think things will be a lot different on Mercury, Dad?","It's going to be terrific.  A whole new world, new kids to play with."
3715,How many kids get a chance to live on another planet.,"No more kids yelling, 'Your old man's a thieving rapist'?"
3725,"Joey, what's more important, the kids' clothes or your sexual potency.",I don't want to hear that word!
3728,All right.  Here.,What...?
3729,"Joe, you don't want to blow that thing and kill all these innocent people.",I don't want to live anymore.
3733,"That's right, Joe.  Now, no one's going to hurt you and no one has to know what's wrong with you.",You're sure?
3734,You're sure?,I'm sure.
3735,"A couple eggs and juice would be nice, Mary.  Over.","How would you like your eggs, Captain? Over."
3736,"How would you like your eggs, Captain? Over.",No.  Poached.  Over.
3737,No.  Poached.  Over.,"Poached <u>and</u> over, Captain Oveur?  Over."
3738,"Poached <u>and</u> over, Captain Oveur?  Over.",Just poached on toast.  Over.
3739,That's how I want them.  Poached.  Over.,"All right, Captain Oveur.  Over."
3740,"All right, Captain Oveur.  Over.",Poached!  Not over!  Over!
3741,"Captain, the coffee machine is jammed and I don't like it.",Have you tried it with a little cinnamon?
3742,Which passenger is Joe Salucci?,"Sixteen 'C', why?"
3743,"Sixteen 'C', why?",He's carrying a bomb.
3745,"No, a bomb.  Now, as discreetly as possible, I want you to move the passengers into the lounge.",What should I say?
3746,What should I say?,Anything.  Just don't let Salucci think we're onto him.
3747,Captain Oveur?,"Mr. Kurtz, I presume."
3748,"Mr. Kurtz, I presume.",We don't have much time.  Let's move. I'll explain everything.
3749,That's how dry cleaning works.  Now I'd like to quickly go over the digestive system of amphibians.,Do you think it's necessary to explain <u>everything</u>?
3750,"Good to be aboard, gentlemen.","Captain Oveur, your navigator, Mr. Unger, and your first officer, Mr. Dunn."
3752,You folks need any help?,"Thanks, but we have a terrific woman in on Thursdays."
3753,"Thanks, but we have a terrific woman in on Thursdays.","Say, isn't that Dr. Barrington, the world- renowned agronomist?"
3756,"It's a privilege to meet you, sir, I'm familiar with all your work.","Let's go, Daddy.  We have to check in.  He was never appreciated at the Institute."
3757,"Let's go, Daddy.  We have to check in.  He was never appreciated at the Institute.","Ah, yes, the Institute, I'm familiar with it."
3758,"Ah, yes, the Institute, I'm familiar with it.",Now he's D-Y-I-N-Ging and wants to be buried on Mercury.
3759,I have to see Bud Kruger.,"Do you have an appointment, sir?"
3760,"Do you have an appointment, sir?","No, dammit.  It's a matter of life or death."
3761,"No, dammit.  It's a matter of life or death.","You'll have to be more specific than that, sir."
3762,"You'll have to be more specific than that, sir.","All right, it's a matter of death."
3763,"All right, it's a matter of death.","Death, death.  How about the first Thursday in March, ten o'clock."
3764,You can't go in there!,Don't try to stop me!
3765,Don't try to stop me!,But that's not a door.  The door's over there.
3766,Are you on the Mercury mission?,"That's right, Striker.  And we're getting married when we return."
3767,"You're seeing bugs where they don't exist, Striker.",Look at this wiring.  It's shorting out under high temperatures.
3768,Look at this wiring.  It's shorting out under high temperatures.,"You're tired, Striker, overworked.  That wiring meets all the safety specifications."
3769,"You're tired, Striker, overworked.  That wiring meets all the safety specifications.",I know you've been subtly spreading the word that I'm having a breakdown.
3770,Striker.,"Kurtz, you're drunk.  Who's in command of this ship?"
3771,"Kurtz, you're drunk.  Who's in command of this ship?",That damn computer has taken over.  I'm getting out.
3772,That damn computer has taken over.  I'm getting out.,Then Elaine was right.
3773,Then Elaine was right.,Don't talk to me about Elaine.  Outta my way!
3774,Don't talk to me about Elaine.  Outta my way!,Pull yourself together!  We've got to...
3776,"Uh... oh, thank you.  It's nothing.","You don't have to thank me, I'm a nurse. This is my father, Dr. Barrington."
3777,"You don't have to thank me, I'm a nurse. This is my father, Dr. Barrington.","Not Dr. Barrington, the world renowned agronomist?"
3778,"Not Dr. Barrington, the world renowned agronomist?",Yes.  He's dying <u>a-n-d</u> wants to be buried on Mercury.
3779,Yes.  He's dying <u>a-n-d</u> wants to be buried on Mercury.,"I'm familiar with your work, Doctor. You'll have to excuse me, I have to go."
3780,"I'm familiar with your work, Doctor. You'll have to excuse me, I have to go.",You don't have to excuse yourself.  I'm a nurse.  I understand.
3781,You've been hurt.,"I'm getting over it.  If a relationship isn't working, you can't force it."
3782,"I'm getting over it.  If a relationship isn't working, you can't force it.","No, I mean your head.  Sit down.  I'll take a look at it.  I'm a nurse."
3783,Do you want to talk about it.,I opened this panel and a vacuum cleaner hit me.
3784,I opened this panel and a vacuum cleaner hit me.,No.  I mean your relationship.
3785,No.  I mean your relationship.,We were in love but I'm not sure I know what love is anymore.
3786,We were in love but I'm not sure I know what love is anymore.,Love's the same as it always was.  It's people who change.
3787,Love's the same as it always was.  It's people who change.,People change in relation to each other. Love changes on its own.
3788,People change in relation to each other. Love changes on its own.,Not if the people change together in relation to that love.
3789,Not if the people change together in relation to that love.,Sure.  But that's only when the love itself goes unchanged.
3792,No.  It's hard to L-A-U-G-H when your father's dying.,"Well, we laughed.  We laughed all the time."
3793,"I happened to be passing, and I thought you might like some corfee.",That's very nice of you. Thank you.
3794,"Ah, won't you sit down?",Thank you. Cream?
3795,Thank you. Cream?,"No, thank you. I take it black. Like my men."
3796,"No, thank you. I take it black. Like my men.",Were you vacationing in Los Angeles?
3800,"Well, after a thing like that you wouldn't be expected to.",But I think it's time we stopped talking about me. A woman like you -- why haven't you ever married?
3801,But I think it's time we stopped talking about me. A woman like you -- why haven't you ever married?,"Well, I'm afraid that's a question that's all too easy to answer."
3806,Mine's Eleanor. Eleanor Schiff.,That's a lovely name. Mine's Milton...Milt Ettenhenim. But my friends call me 'Bubbles.'
3810,"Hello, I'm Paul Carey from the airline. I'm here to pick up Captain Kramer.","Oh, yes. Come in, Paul. Rex will be right out."
3813,"Yeah, something like that, but as I say, they didn't have time to tell me very much.","Shep, no! I'll bet you have exciting things happen all the time down there."
3814,...but after...awhile...you begin to...  ...get used to it.,"Shep, no! He gets so excited when new people are here."
3815,Both pilots!,Can you fly this airplane and land it?
3816,Can you fly this airplane and land it?,Surely you can't be serious.
3817,Surely you can't be serious.,"I <u>am</u> serious, and don't call me Shirley! What flying experience have you had?"
3820,...safe and sound and free to pursue a life of religious fulfillment.,"Chicago, the passengers are beginning to panic. When do we start down?"
3821,Will the hospital equipment be at the airport?,"Yes, everything they've got. How are the passengers doing?"
3822,"Yes, everything they've got. How are the passengers doing?","I won't deceive you, Mister Striker. We're running out of time."
3823,"I won't deceive you, Mister Striker. We're running out of time.",Surely there must be something you can do.
3824,Surely there must be something you can do.,I'm doing everything I can! -- And stop calling me Shirley!
3827,"Captain, how soon can we land?",I can't tell.
3828,Can't you take a guess?,Well...not for another two hours.
3829,Well...not for another two hours.,You can't take a guess for another two hours?
3831,"What is it, Doctor? What's happening?",I'm not sure. I haven't seen anything like this since the Lina Wertmuller Film Festival.
3832,"Sir. Excuse me, sir. I'm sorry to have to wake you. Are you a doctor?",That's right.
3833,That's right.,We have some passengers who are very sick. Could you come and take a look at them?
3834,We have some passengers who are very sick. Could you come and take a look at them?,"Yes. Yes, of course."
3838,What was it we had for dinner tonight?,"Well, we had a choice. Steak or fish."
3839,"Well, we had a choice. Steak or fish.","Yes, yes, I remember. I had lasagna."
3840,What did he have?,He had fish.
3842,Let's see now. The co-pilot had fish. What did the navigator eat?,"He had fish, too."
3843,"Just how serious is it, doctor?",Extremely serious. It starts with a slight fever.
3853,"I have been patient and I've tried to help, but you wouldn't even let me do that.",Don't you feel anything for me at all any more?
3855,"Look, you'll be back in town tomorrow night. We'll have dinner -- talk it over.",I won't be back. I've requested the Atlanta run.
3856,I won't be back. I've requested the Atlanta run.,"Elaine, not yet. I promise you I really can change."
3857,"Elaine, not yet. I promise you I really can change.",Then why don't you take the job that Louie Netz offered you at Boeing?
3862,"Ted, what are you doing here?","Elaine, I've got to talk to you."
3863,"Elaine, I've got to talk to you.",You...you shouldn't have come. I don't have time now.
3864,What's the matter?,My orders came through. My squadron ships out tomorrow. I'll be leading a very important mission.
3865,My orders came through. My squadron ships out tomorrow. I'll be leading a very important mission.,"Oh, Ted, please be careful. I worry about you so much."
3866,"Oh, Ted, please be careful. I worry about you so much.","I love you, Elaine."
3867,"I love you, Elaine.",I love you.
3870,"That's the way I've always wanted it to be, Elaine.",But it won't be. Not as long as you insist on living in the past!
3871,You got a telegram from head颅quarters today.,Headquarters!? What is it?
3874,I wish I could say the same for George Zipp.,"Be patient, Ted. No one expects you to get over this immediately."
3875,What's his problem?,That's Lieutennt Hurwitz. Severe shell shock. He thinks he's Ethel Merman.
3878,Ted! What are you doing? You can't fly this plane!,That's what I've been trying to tell these people.
3880,And a little ice.,And a little ice!
3881,Sluggish. Like a wet sponge.,Sluggish. Like a wet sponge.
3882,It's a damn good thing he doesn't know how much I hate his guts.,It's a damn good thing you don't know how much he hates your guts.
3883,Rats! I've lost number three.,"What happened, Ted? What went wrong?"
3888,I wanted you to know -- now -- I'm very proud.,Tell them the gear is down and we're ready to land.
3889,Tell them the gear is down and we're ready to land.,The gear is down.
3892,We'd better get back now.,Joey can stay up here for a while if he'd like to.
3893,"Hey, we've been waiting for you. A little bit late tonight.",Who wants to be first?
3894,Airsick?,"I think so, but I've never seen it so acute."
3895,"I think so, but I've never seen it so acute.","Find out if there's a doctor on board, as quietly as you can."
3896,"Oh, Bill, I'm going to miss you so much.",You promise you'll write.
3897,You promise you'll write.,Every day.
3898,"Good-bye, darling.","Oh, Bill, I'll keep it. I'll keep it with me all the time."
3899,"Oh, Bill, I'll keep it. I'll keep it with me all the time.","So long, darling. Good-bye. Take care of yourself."
3900,"So long, darling. Good-bye. Take care of yourself.","Bill! Bill! Good-bye, Bill."
3901,"Bill! Bill! Good-bye, Bill.","Good-bye, darling."
3902,"Good-bye, darling.","Good-bye, darling. I love you. I love you, darling."
3903,"Good-bye, darling. I love you. I love you, darling.","Good-bye, darling."
3904,And get that finger out of your ear. You don't know where that finger's been! Gunderson?,"Yes, Captain?"
3905,"Yes, Captain?",Did you decide on a runway yet?
3906,Did you decide on a runway yet?,"Runway niner. It's the longest, and directly into the wind."
3909,He's right on the heading.,"All right, he's on final now! Put out all runway lights except niner."
3911,What did you think of 'Great Expectations?',"Well, it wasn't all that I had hoped."
3912,"Oh, I can't stand it.",What is it?
3913,"How ya doing, honey?","Oh Jack, I'm so warm. I'm burning up."
3916,You <u>are</u> Kareem. I've seen you play. My Dad's got season tickets!,"I think you should go back to your seat now, Joey. Right, Clarence?"
3918,I think you're the greatest. But my Dad says you don't work hard enough on defense.,"Denver Control, this is Flight two-zero- niner intersecting Victor Airway seven- niner-niner."
3919,"Denver Control, this is Flight two-zero- niner intersecting Victor Airway seven- niner-niner.",...and that lots of times you don't even run down court.
3920,...and that lots of times you don't even run down court.,We are turning left to a heading of zero- niner-niner.
3921,We are turning left to a heading of zero- niner-niner.,"...and that you don't really try, except during the playoffs."
3922,"...and that you don't really try, except during the playoffs.",The hell I don't! I'm out there busting my buns every night.
3924,I'm Randy.,"I'm Lisa. Oh, you have a guitar!"
3925,"I'm Lisa. Oh, you have a guitar!",I thought maybe you'd like to hear a song.
3926,I thought maybe you'd like to hear a song.,"Oh, I'd love to."
3927,"Oh, I'd love to.","Okay, this is one of my favorites."
3928,Would either of you like another cup of coffee?,"I will, but Jim won't."
3930,"Oh, Stewardess. My husband is very sick. Can you do something, please?","Well, the doctor will be with you in just a moment. One thing: do you know what he had for dinner?"
3931,"Well, the doctor will be with you in just a moment. One thing: do you know what he had for dinner?","Yes, of course. We both had fish. Why?"
3932,"Yes, of course. We both had fish. Why?","Oh, it's nothing to be alarmed about. We'll get back to you very quickly."
3933,"Sorry, Clarence. Latest weather report shows everything socked in from Salt Lake to Lincoln.","Hi, Roger. Good to have you aboard. Victor, this is Roger Murdock."
3936,"We have clearance, Clarence.","Roger, Roger. What's our vector, Victor?"
3937,"Do you want me to check the weather, Clarence?","No, why don't you take care ot it?"
3938,"No, he's not bothering anyone. Let him stay up here.","All right. But just remember, my name is Roger Murdock."
3941,There's a little girl on board who's ill and...,"Oh yes, I saw. Poor child."
3942,"Oh yes, I saw. Poor child.",Could I borrow your guitar? I thought I might be able to cheer her up.
3943,Could I borrow your guitar? I thought I might be able to cheer her up.,Of course.
3944,Fourteen-B. It's halfway down on your right.,Thank you.
3945,"Do you feel all right, sir?",Oh -- I haven't flown for a long time.
3946,"Excuse me, sir. Would you like some coffee before we serve dinner?",No. No thank you.
3947,"Excuse me, sir. There's been a little problem in the cockpit and I was wondering...",The cockpit? What is it?
3949,"Well, I flew in the war, but that was a long time ago. I wouldn't know anything about it.","Would you go up, please?"
3950,"Mr. Striker, the passengers are ready.","Thank you, Randy. You better leave sweetheart. You might get hurt in here."
3952,Does that cost extra or you throw them in?,You've got me all wrong.  I don't charge money for something that I myself find pleasurable...
3953,"Look, I don't know where Mr. Strader might be.  He comes and he goes.","The girl out front mentioned Strader's assistant, somebody named Watson.  Maybe he knows."
3954,"The girl out front mentioned Strader's assistant, somebody named Watson.  Maybe he knows.",Todd?  Todd doesn't know either.
3956,Not unless I got real drunk and nobody told me about it later.,A virgin.  I find that very arousing...
3959,I like my horizons narrow.,"Your voice is saying no, but your body is saying yes."
3961,You are Cassandra?,That's right.
3962,That's right.,"We are with the Police Department. This is Sergeant Sykes, and I am--"
3963,"We are with the Police Department. This is Sergeant Sykes, and I am--",Ss'ai k'ss?  Perfect.
3964,He's not here.  Why ask me?,The young woman at the front said you might know where he is.
3965,The young woman at the front said you might know where he is.,"She did, did she?  Well, she was wrong.  Excuse me, I have to change."
3966,In there.,Show me.
3967,So what've you got on Tuggle's killers?,"Jesus, Sykes -- it's been less than ten hours.  Me and Alterez are on it, okay?"
3968,"Jesus, Sykes -- it's been less than ten hours.  Me and Alterez are on it, okay?",You don't have squat.
3971,"Well, if it isn't Detective Jetson. Forget you hip waders, big guy?","Lay off, asshole."
3972,"Lay off, asshole.","I may be an asshole, but at least I'm a real detective, not some outer shit space thing."
3975,"I'm Sergeant Sykes, and this is Detective Jetson, Los Angeles Police Department.",Sergeant... Detective.  I wasn't aware there were any Newcomers at the rank of Detective yet.
3976,"Yes, I heard about poor Warren. Tragic.","You were partners with him on some Slag -- uh, Newcomer real estate thing."
3978,"Move a finger, Harcourt, and you're history...","No, Sergeant -- not history...  Eternity..."
3979,"That cop, the human, he was the one who killed Anderson and the driver.",This is becoming a serious breach of security.
3980,This is becoming a serious breach of security.,He didn't recognize me.
3981,He didn't recognize me.,It is his new partner that I'm worried about.
3989,My true name is Ss'tangya T'ssorentsa'.,"Gesundheit.  You don't mind if I stick to George, do you?"
3991,Let's talk Hubley.,"His body was discovered three days ago, in an alley off of Central Avenue, near downtown."
3992,"His body was discovered three days ago, in an alley off of Central Avenue, near downtown.",With two BRI Sabot slugs in the chest.
3993,With two BRI Sabot slugs in the chest.,Through the chest.  Rupturing both the primary and secondary hearts.
3994,Through the chest.  Rupturing both the primary and secondary hearts.,"Nice signal, dickwad!"
4003,"Yes... no, it is not unreasonable. Although I--","Great.  Well, I'm sure glad that's settled, aren't you?"
4004,What's this?  What's going on?,Nothing.
4005,Nothing.,Nothing?
4006,Nothing?,Shouldn't we examine their personal effects?
4008,Get the picture?,And that fits?
4009,And that fits?,"Well... Yeah, it's rubber.  It stretches."
4010,"Well... Yeah, it's rubber.  It stretches.",And still it fits?
4015,I believe I should interview the widow alone.,"Why the hell--?!  Great, fine.  You talk to the wife."
4016,Mrs. Porter is not taking her husband's death well.,Did you learn anything?
4019,Aw-right.  What about the other guy?,She didn't know him.  But she said her son might.
4020,She didn't know him.  But she said her son might.,Did you talk to him?
4021,Did you talk to him?,He has not been home since that day. But she told me where to find him.
4022,"Rudyard Kipling?  No shit?  Listen, we just need a minute of your time...","We'd like to ask you about a business associate of your, Warren Hubley."
4023,Why did you do it?,Why'd I do what?
